,record_id,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,lyrics,valence_bin,energy_bin,danceability_bin
1160,1160,7125,1DRUADzxXobWbKTPhkYnQo,Jim & Jesse,Y'all Come: The Essential Jim & Jesse,Ballad of Thunder Road,29,156600,False,0.654,0.551,5,-10.2,1,0.0325,0.579,0.0,0.812,0.965,138.15,4,bluegrass,"2 ContributorsBallad of Thunder Road LyricsNow let me tell a story, I can tell it all
About the mountain boy who ran illegal alcohol
His daddy made the whiskey, the son, he drove the load
And when his engine roared, they called the highway thunder road

Sometimes into Ashville, sometimes Memphis Town
The revenuers, they chased him, but they couldn't run him down
Each time they thought they had him, his engine would explode
He'd go by like they were standing still on thunder road

There was thunder, thunder over thunder road
Thunder was his engine and white lightning was his load
There was moonshine, moonshine to quench the devil's thirst
The law they swore they'd get him, but the devil got him first

On the first of April, 1954
The federal man sent word, he better make his run no more
He said 200 agents were covering the state
Whichever road he'd try to take, they'd get him sure as fate

""Son"", his daddy told him, ""Now make this run your last
Your tank is filled with 100 proof, you're all tuned up and gassed
Now don't take any chances, if you can't get through
I'd rather have you back again than all that mountain dew""

There was thunder, thunder over thunder road
Thunder was his engine and white lightning was his load
There was moonshine, moonshine to quench the devil's thirst
The law they swore they'd get him, but the devil got him first
You might also likeRoaring out of Harlan, revving up his mill
He shot the gap at Cumberland and screamed through Maynardville
With G-men on his tail light, roadblocks up ahead
The mountain boy took roads that even angels feared to tread

Blazing right through Knoxville, out on Kingston Pike
Then right outside of Bearden, there they made the fatal strike
He left the road at ninety, that's all there is to say
The devil got the moonshine and the mountain boy that day

There was thunder, thunder over thunder road
Thunder was his engine and white lightning was his load
There was moonshine, moonshine to quench the devil's thirst
The law they swore they'd get him, but the devil got him firstEmbed",2,1,1
10707,10707,113664,0YR6Ga8ZNd9w93OP8Goaem,Shane & Shane,Vintage,I Could Sing of Your Love Forever,48,261229,False,0.523,0.535,0,-11.394,1,0.031,0.0209,0.0,0.111,0.76,159.903,4,world-music,"1 ContributorI Could Sing of Your Love Forever LyricsOver the mountains and the sea
Your river runs with love for me
And I will open up my heart
And let The Healer set me free

I'm happy to be in the truth
And I will daily lift my hands
For I will always sing
Of when Your love came down

Over the mountains and the sea
Your river runs with love for me
And I will open up my heart
And let The Healer set me free

I'm happy to be in the truth
And I will daily lift my hands
For I will always sing
Of when Your love came down

I could sing of your love forevеr
I could sing of your love forever
I could sing of your lovе forever
I could sing of your love forever

Over the mountains and the sea
Your river runs with love for me
And I will open up my heart
And let The Healer set me free
You might also likeI'm happy to be in the truth
And I will daily lift my hands
For I will always sing
Of when Your love came down

I could sing of your love forever
I could sing of your love forever
I could sing of your love forever
I could sing of your love forever

Oh I feel like dancing
It's foolishness I know
But when the world has seen the light
They will dance with joy like we're dancing now

I could sing of Your love forever
I could sing of Your love forever
I could sing of Your love forever
I could sing of Your love forever
I could sing of Your love forever
I could sing of Your love forever
I could sing of Your love forever
I could sing of Your love foreverEmbed",2,1,1
5094,5094,47070,0e5LcankE0UyJUuCoq1uH2,Steve Miller Band,Fishing Music,The Joker,0,264503,False,0.596,0.448,5,-9.616,1,0.0396,0.365,5.22e-06,0.207,0.796,83.293,4,hard-rock,"49 ContributorsThe Joker Lyrics[Verse 1]
Some people call me the space cowboy, yeah
Some call me the gangster of love
Some people call me Maurice
'Cause I speak of the pompatus of love

[Verse 2]
People talk about me, baby
Say I'm doing you wrong, doing you wrong
Well, don't you worry, baby, don't worry
'Cause I'm right here, right here, right here, right here at home

[Chorus]
'Cause I'm a picker, I'm a grinner
I'm a lover and I'm a sinner
I play my music in the sun
I'm a joker, I'm a smoker
I'm a midnight toker
I sure don't want to hurt no one
I'm a picker, I'm a grinner
I'm a lover and I'm a sinner
I play my music in the sun
I'm a joker, I'm a smoker
I'm a midnight toker
I get my lovin' on the run
Woo-ooh, woo-ooh
See Steve Miller Band LiveGet tickets as low as $74You might also like[Guitar Solo]

[Verse 3]
You're the cutest thing that I ever did see
I really love your peaches, wanna shake your tree
Lovey-dovey, lovey-dovey, lovey-dovey all the time
Oee, baby, I'll sure show you a good time

[Chorus]
'Cause I'm a picker, I'm a grinner
I'm a lover and I'm a sinner
I play my music in the sun
I'm a joker, I'm a smoker
I'm a midnight toker
I get my lovin' on the run
I'm a picker, I'm a grinner
I'm a lover and I'm a sinner
I play my music in the sun
I'm a joker, I'm a smoker
I'm a midnight toker
I sure don't want to hurt no one

[Guitar Solo]

[Bridge]
Woo-ooh, woo-ooh
[Outro]
People keep talking about me, baby
Say I'm doing you wrong
Well, don't you worry, don't worry, no, don't worry, mama
'Cause I'm right here at home
You're the cutest thing I ever did see
Really love your peaches, wanna shake your tree
Lovey-dovey, lovey-dovey, lovey-dovey all the time
C'mon baby, now I'll show you a good time13Embed",2,1,1
6708,6708,64208,1lJWopyBsnNY029HUETv0R,Ella Fitzgerald,Rock Christmas 2022 - The Very Best Of,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,jazz,"6 ContributorsFrosty the Snowman LyricsWho's debonair with the tall silk hat
Muffler of wool and a tummy that's fat?
King for the day and he loves the road
With a broomstick cane and a heart of gold

That's Frosty the Snowman
He's a jolly happy soul
With a corncob pipe and a button nose
And two eyes made out of coal
Frosty the snowman
Is a fairytale they say
He was made of snow
But the children know
How he came to life one day

There must have been some magic
In that old silk hat they found
For when they placed it on his head
He began to dance around

Oh, Frosty the snowman
Was alive as he could be
And the children say
He could laugh and play
Just the same as you and me
You might also likeOh, Frosty the snowman
Knew the sun was hot that day
So he said, ""Let's run
And we'll have some fun
Now before I melt away""
So, down to the village
With a broomstick in his hand
Running here and there all around the square
Saying, ""Catch me if you can""

He led them down the streets of town
Right to the traffic cop
And he only paused a moment when
He heard him holler ""Stop!""

For Frosty the snowman
Had to hurry on his way
But he waved goodbye
Saying, ""Don't you cry
I'll be back again some day""

Hey, listen
Thumpety thump thump
Thumpety thump thump
Look at Frosty go
Hey, look at him
Thumpety thump thump
Thumpety thump thump1Embed",2,1,1
6502,6502,58486,1sC6AjTfIQd4ChoZm1DNMu,MC 900 Ft. Jesus,Welcome To My Dream,Adventures In Failure,24,345600,True,0.635,0.596,1,-11.41,1,0.424,0.0244,0.000283,0.118,0.831,183.204,4,industrial,"2 ContributorsAdventures In Failure Lyrics(No one can do it better)

Damn I hate this job
To work in this dump you gotta be a snob
Everybody gets on my nerves in this place
I think I'll take the afternoon off from the rat race
An exciting career
Don't amount to much but a pain in the rear
I bust my ass all day for a dollar
And then I go home and listen to the kids holler
Devoted spouse waitin' in the den
Wants to hit me upside the head with a rolling pin
Does that ring a bell?
A daily routine we all know well
I'm makin' more but enjoyin' it less
The good life's mainly causin' me stress
Making a change is difficult but
I gotta try to get out of this rut
But fear seems to be holdin' me back
Courage is the principle trait I lack
I gotta calm my nerves so I can think
I pour myself a nice stiff drink
And another this is my usual mode
One for the money and ten for the road
Ah, now everything is clear
I gotta get the hell out of here
Yes now my mission is plain
A Big Mac is calling my name
I gotta sample some of Ronald's cooking
So I raid my wifes purse when she's not looking
Pondering the wonderful thing called marriage
I accidentally back the car into a baby carriage
'scuse me ma'am I'd love to stay and chat
But watch where you're going next time you old bat
I hit the gas and zoom down the block
Leave 'er in the dust yellin' for the cops
Swervin' round a corner tryin' to steer
I get so excited I almost spill my beer
A neighbourhood dog is yappin' at my bumper
So I slam on the brakes and I hear a big thump
I jump the curb and land up on a lawn
Then I finish my beer and turn the radio on
Some idiot's goin' on about rehab
I grab a brew and yank on the pull tab
Here comes a little old lady with a shot gun
I put the pedal to the metal and she runs
Digging on my off-road driving power
I do a donut in a bed of flowers
Then I jerk the wheel a little to hard
The car rolls over and over on out of the yard
You might also like(Causin' much destruction)
(Act the fool)

I come to rest in the middle of the street
A bunch of empty beer cans rattlin' at my feet
Starin' in the window is a nosy little brat
I look him in the eyes and say ""I meant to do that""
Then I notice my watch says I'm overdue
For my big appointment at the local drive through
I do a number on the accelerator
And I'm cuttin' in line about thirty seconds later
Whaddya think this is?
Some kinda joke?
Gimme 10 Big Macs and a small diet coke
I pull up to the window with my radio playin'
I grab the bag and leave without payin'
I weave down the road for a block
Jugglin' a beer and a a styrofoam box
Pull into a parking lot and kill the motor
Presently I notice a peculiar odour
A little black smoke is risin' from the hood
Somethings gonna happen and it's probably not good
I open the door grab my stuff and go
Just in time to watch the whole thing blow
The car explodes with a bang and a hiss
Oh boy, my wife is gonna really like this
I can't believe this is happenin' to me (Hot Damn!)
This piece of junk's goin' back to the factory
This was a blatant attempt on my life
Everyone will fall for that
Except my wife (Hot Damn!)
But wait a plan begins to emerge
I suddenly have an overwhelming urge
To spend the night in the great outdoors
My suburban lifestyle has become a bore
I'll build me a fire
And finish my burgers
What my wife don't know (Hot Damn!)
Won't hurt her
I leave the scene of the unhappy event
Resolved to make the most of my predicament
A few yards away I feel better
I know! I'll write 'er a letter
Or better yet a ransom demand
Got your husband send the money understand?
Or else we'll send his head home in a jar
P.S
Sorry 'bout the car
Yeah, now that ought to really do the trick
I'll be gettin' off the hook and she'll be worried sick
But really, I'm gonna make it up to you honey
I'll buy you a new car with your own damn money
I walk a while into the sunset
A man, at peace with the world, you bet
Nothing can diminish my total enjoyment
Except when I pass my place of employment
Damn I hate this job
To work in this dump you gotta be a snob
Everybody gets on my nerves in this place
I think I'll take the afternoon off
From the rat race
(Hard like a criminal)Embed",2,1,1
8354,8354,84140,5FcQcDHuwpzP70vhlCqVi2,Steppenwolf,Fiesta temática 60s,The Pusher,0,349826,False,0.508,0.47,0,-9.339,1,0.0262,0.201,0.0553,0.14,0.69,81.016,4,psych-rock,"20 ContributorsThe Pusher Lyrics[Verse 1]
You know I've smoked a lot of grass
O' Lord, I've popped a lot of pills
But I never touched nothin'
That my spirit could kill

[Verse 2]
You know, I've seen a lot of people walkin' 'round
With tombstones in their eyes
But the pusher don't care
Ah, if you live or if you die

[Chorus]
God damn, the pusher
God damn, I say the pusher
I said God damn
God damn the pusher man

[Verse 3]
You know the dealer, the dealer is a man
With the love grass in his hand
Oh but the pusher is a monster
Good God, he's not a natural man

[Verse 4]
The dealer for a nickel
Lord, will sell you lots of sweet dreams
Ah, but the pusher ruin your body
Lord, he'll leave your
He'll leave your mind to scream
You might also like[Chorus]
God damn, the pusher
God damn, God damn the pusher
I said God damn
God, God damn the pusher man

[Guitar Solo]

[Verse 5]
Well, now if I were the president of this land
You know, I'd declare total war on the pusher man
I'd cut him if he stands, and I'd shoot him if he'd run
Yes, I'd kill him with my Bible and my razor and my gun

[Outro]
God damn, oh, the pusher
God damn the pusher
I said God damn
God damn the pusher man...1Embed",2,1,1
8284,8284,84077,2ZVN8uzgXLzwuCvOzMdn5W,The Beach Boys,"It's Christmas, Let's Dance",Little Saint Nick - 1991 Remix,0,118840,False,0.602,0.553,11,-9.336,1,0.0328,0.108,0.0,0.0512,0.971,130.594,4,psych-rock,"29 ContributorsLittle Saint Nick (1991 Remix) Lyrics[Intro]
Oooo Merry Christmas, Saint Nick
Christmas comes this time each year
Oooo

[Verse 1]
Well, way up north where the air gets cold
There's a tale about Christmas that you've all been told
And a real famous cat all dressed up in red
And he spends the whole year working out on his sled

[Chorus]
It's the little Saint Nick (Ooo little Saint Nick)
It's the little Saint Nick (Ooo little Saint Nick)

[Verse 2]
Just a little bobsled we call it old Saint Nick (Ooo)
But she'll walk a toboggan with a four speed stick (Ooo)
She's candy-apple red with a ski for a wheel (Ooo)
And when Santa hits the gas, man, just watch her peel (Ooo)

[Chorus]
It's the little Saint Nick (Ooo little Saint Nick)
It's the little Saint Nick (Ooo little Saint Nick)

[Bridge]
Run, run, reindeer
Run, run, reindeer (Woah, woah-oh)
Run, run, reindeer
Run, run, reindeer
He don't miss no one
See The Beach Boys LiveGet tickets as low as $30You might also like[Verse 3]
And hauling through the snow at a frightening speed (Ooo)
With a half a dozen deer with Rudy to lead (Ooo)
He's gotta wear his goggles because the snow really flies (Ooo)
And he's cruising every pad with a little surprise (Ooo)

[Chorus]
It's the little Saint Nick (Ooo little Saint Nick)
It's the little Saint Nick (Ooo little Saint Nick)

[Outro]
Ohh, Merry Christmas Saint Nick (Ooo)
Christmas comes this time each year
Ohh, Merry Christmas Saint Nick (Ooo)
Christmas comes this time each year
Ohh, Merry Christmas Saint Nick (Ooo)
Christmas comes this timeEmbed",2,1,1
3740,3740,34292,2VmyG10PAR0ZyTUtgOp5Wf,America,Session Acoustique,A Horse with No Name,0,252239,False,0.653,0.507,11,-17.18,0,0.0534,0.687,0.0147,0.155,0.831,123.188,4,folk,"91 ContributorsA Horse With No Name Lyrics[Verse 1]
On the first part of the journey
I was looking at all the life
There were plants and birds and rocks and things
There was sand and hills and rings
The first thing I met was a fly with a buzz
And the sky with no clouds
The heat was hot and the ground was dry
But the air was full of sound

[Chorus]
I've been through the desert on a horse with no name
It felt good to be out of the rain
In the desert, you can't remember your name
'Cause there ain't no one for to give you no pain
La, la, la, la-la-la-la-la, la-la-la, la, la
La, la, la, la-la-la-la-la, la-la-la, la, la

[Verse 2]
After two days in the desert sun
My skin began to turn red
After three days in the desert fun
I was looking at a river bed
And the story it told was of a river that flowed
Made me sad to think it was dead
See America LiveGet tickets as low as $60You might also like[Chorus]
You see, I've been through the desert on a horse with no name
It felt good to be out of the rain
In the desert, you can't remember your name
Because there ain't no one for to give you no pain
La, la, la, la-la-la-la-la, la-la-la, la, la
La, la, la, la-la-la-la-la, la-la-la, la, la

[Instrumental Break]

[Verse 3]
After nine days, I let the horse run free
'Cause the desert had turned to sea
There were plants and birds and rocks and things
There was sand and hills and rings
The ocean is a desert with its life underground
And a perfect disguise above
Under the cities lies a heart made of ground
But the humans will give no love

[Chorus]
You see, I've been through the desert on a horse with no name
It felt good to be out of the rain
In the desert, you can remember your name
'Cause there ain't no one for to give you no pain
La, la, la, la-la-la-la-la, la-la-la, la, la
La, la, la, la-la-la-la-la, la-la-la, la, la
La, la, la, la-la-la-la-la, la-la-la, la, la
La, la, la, la-la-la-la-la, la-la-la, la, la
La, la, la, la-la-la-la-la, la-la-la, la, la
La, la, la, la-la-la-la-la, la-la-la, la, la
La, la, la, la-la-la-la-la, la-la-la, la, la
La, la, la, la-la-la-la-la, la-la-la, la, la46Embed",2,1,1
8739,8739,91559,3ifkrUCM3o3jcrQ99PhUor,The Beach Boys,A Very 60s Christmas,Little Saint Nick - 1991 Remix,0,118840,False,0.602,0.553,11,-9.336,1,0.0328,0.108,0.0,0.0512,0.971,130.594,4,rock,"29 ContributorsLittle Saint Nick (1991 Remix) Lyrics[Intro]
Oooo Merry Christmas, Saint Nick
Christmas comes this time each year
Oooo

[Verse 1]
Well, way up north where the air gets cold
There's a tale about Christmas that you've all been told
And a real famous cat all dressed up in red
And he spends the whole year working out on his sled

[Chorus]
It's the little Saint Nick (Ooo little Saint Nick)
It's the little Saint Nick (Ooo little Saint Nick)

[Verse 2]
Just a little bobsled we call it old Saint Nick (Ooo)
But she'll walk a toboggan with a four speed stick (Ooo)
She's candy-apple red with a ski for a wheel (Ooo)
And when Santa hits the gas, man, just watch her peel (Ooo)

[Chorus]
It's the little Saint Nick (Ooo little Saint Nick)
It's the little Saint Nick (Ooo little Saint Nick)

[Bridge]
Run, run, reindeer
Run, run, reindeer (Woah, woah-oh)
Run, run, reindeer
Run, run, reindeer
He don't miss no one
See The Beach Boys LiveGet tickets as low as $30You might also like[Verse 3]
And hauling through the snow at a frightening speed (Ooo)
With a half a dozen deer with Rudy to lead (Ooo)
He's gotta wear his goggles because the snow really flies (Ooo)
And he's cruising every pad with a little surprise (Ooo)

[Chorus]
It's the little Saint Nick (Ooo little Saint Nick)
It's the little Saint Nick (Ooo little Saint Nick)

[Outro]
Ohh, Merry Christmas Saint Nick (Ooo)
Christmas comes this time each year
Ohh, Merry Christmas Saint Nick (Ooo)
Christmas comes this time each year
Ohh, Merry Christmas Saint Nick (Ooo)
Christmas comes this timeEmbed",2,1,1
9021,9021,92617,1VCk5EBNnPlimjTMY2WQuj,Elvis Presley,Elvis Presley: The Searcher (The Original Soundtrack) [Deluxe],It's Now or Never,25,195813,False,0.644,0.438,4,-12.168,1,0.0379,0.508,0.000211,0.494,0.775,126.204,4,rockabilly,"19 ContributorsIt’s Now or Never Lyrics[Chorus]
It's now or never
Come hold me tight
Kiss me, my darling
Be mine tonight
Tomorrow
Will be too late
It's now or never
My love won't wait

[Verse 1]
When I first saw you
With your smile so tender
My heart was captured
My soul surrendered
I spent a lifetime
Waiting for the right time
Now that you're near
The time is here at last

[Chorus]
It's now or never
Come hold me tight
Kiss me, my darling
Be mine tonight
Tomorrow
Will be too late
It's now or never
My love won't wait
You might also like[Verse 2]
Just like a willow
We would cry an ocean
If we lost true love
And sweet devotion
Your lips excite me
Let your arms invite me
For who knows when
We'll meet again this way

[Chorus]
It's now or never
Come hold me tight
Kiss me, my darling
Be mine tonight
Tomorrow
Will be too late
It's now or never
My love won't wait

[Outro]
It's now or never
My love won't wait
It's now or never
My love won't wait
It's now or never
My love won't wait
It's now or never
My love won't wait1Embed",2,1,1
