Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,lyrics,valence_bin,energy_bin,danceability_bin
92060,5HrDA3N0ksfsqXamG0r4nR,Brenda Lee,All I want For Christmas Is Music,Rockin' Around The Christmas Tree,0,123453,False,0.631,0.569,5,-5.956,0,0.0438,0.728,0.0,0.27,0.874,71.078,4,rockabilly,way saxophone holiday sentimental pre solo see spirit voices hop old chorus deck rockin merrily dancin new jolly tree holly we every fashioned couple feeling pumpkin boughs caroling hung party pie later also get everyone let mistletoe like s stop tries ll around ring happy might singing halls christmas hear,2,1,1
11689,3jXsEA9Gyo7QDyho6YoQ6S,Eric Burdon,The Curse Of Hobbes House The Ultimate Fantasy Playlist,We Gotta Get Out Of This Place,0,208693,False,0.585,0.633,7,-8.007,1,0.0338,0.521,0.0,0.101,0.781,135.111,4,british,whoa use young true outta tell somewhere sun time pretty city too part watch gotta turnin old a somehow he night dead place daddy refused bed yes me there i believe ain thing grey ve last tryin ever hair every t one it due away dyin oh also better get like workin cause shine s yeah watched ohhh life dirty slavin might day people baby girl hard know,2,1,1
7917,4X1C6Q2DdNHDbFqb19yct5,Unspoken Tradition,Myths We Tell Our Young,Dark Side Of The Mountain,21,230000,False,0.685,0.681,2,-6.591,1,0.0292,0.534,0.00768,0.084,0.718,112.014,4,bluegrass,years dougan disappeared poor heart knew eyes dark twenty never well amber forgotten pines sun pretty green set takin sleeps grave chorus place high marry kneels there i longer wh re molly mystery nearly shadow boys black grav  hair happened every searched still found weep one shallow remains wife turned secret side today shines also mountain like m s followed foothills though laughed trace said might hidden town loved,2,1,1
7398,2HGfHpGGiXso96LMDuPTZD,Town Mountain,New Freedom Blues,One Drop in the Bottle,23,295093,False,0.539,0.61,4,-7.622,1,0.032,0.563,0.00185,0.0902,0.74,145.661,4,bluegrass,way wind pills unknown over money bottle night awoke dead tried ground covered dollars soul also drop get home left leaf outta broken dark laid twenty vein dust nothin gamblin sound lord lost song hill toward away great runnin ragged inside cross wide never maybe sun set silence alone rain man lose stretch slow couple unkempt thief stared one move three born dry like runs shot though might weed enough badland surely needed northern need name cheyenne chorus divide sky blood distant took found west desert driver quarter thrill mission,2,1,1
7547,2xGkuANyhyQQZ4yRIFDSum,The Dillards,Back Porch Bluegrass,Somebody Touched Me,23,145400,False,0.404,0.653,11,-11.771,1,0.0373,0.392,0.0,0.333,0.745,154.161,4,bluegrass,lordyou sunday somebody must lord glory like praying touched might well hand also,2,1,1
52069,0QsjbnrUVuxVi6gYTsF1di,George Jones,Treasure of Love,Your Old Standby,22,143973,False,0.615,0.385,7,-9.68,1,0.0312,0.876,0.0,0.241,0.728,126.164,4,honky-tonk,shoulder intro heartache show empathy on george nothing call mind gene old standby chorus die consideration d me i pitney miss want dear pain share wonder waiting jones darling could learn standbyyou also like stand someone m love always around might cry depend,2,1,1
7296,3CCMwUTxhhiX0Jwh6UOtKt,Lonesome River Band,The Road With No End,Won't Be Over You,25,186533,False,0.68,0.475,7,-9.656,1,0.0285,0.844,4.82e-06,0.19,0.889,106.991,4,bluegrass,walls wash ol heart tears loon prisoner poison true days glass won name bones empty call over likeyes honey night god dead chorus fall rain die yes numbered break lock ninety padded walk lost i head floor thirst curse proof moon lie t press two crazy drown awake world regrets rocks mine sea tortured hang grow also like someday weary climb love cell ll yell might lips,2,1,1
84086,2EMYPLB3S0kgfAMmA5Y4Pz,The Beach Boys,Christmas Faves 2022,Little Saint Nick - 1991 Remix,0,118840,False,0.602,0.553,11,-9.336,1,0.0328,0.108,0.0,0.0512,0.971,130.594,4,psych-rock,way well spends call air gotta old working ooo low bridge peel wear snow also told bobsled deer comes wheel north dozen toboggan saint watch lead really he year red rudy goggles surprise dressed she oh beach whole tale christmas little flies woah man remix frightening there nick miss walk boys famous pad reindeer every cruising tickets run ski one stick speed like half might hauling cold gas intro sled gets see candy time apple chorus oooo ohh liveget four hits santa real s ll merry cat,2,1,1
1916,5U7u0VTIvMeQIbXwNeWO40,Jaron Nurse,Uncommon,Keep It Clean,16,225071,False,0.56,0.644,11,-5.826,1,0.131,0.515,0.0,0.116,0.875,82.505,4,afrobeat,wealth discoverin explain sprays gothic feel nursery got blink nation crack call ways witcha holding gon job chicago decades seven niggas seventy talking ain ve precipitation want keeps sess askin smokin presence two methods still shorty wanna gold society hands bitch e speak what thinkin stunts also scandalous side get slid loaf makin short when shoot enroll spinnin nuthin make mellow life baby straight spots coming pops years common isle corners tou board state envy incarceration go good nothin questions midst streets now sound dreams for palms yes hoes last clean eighty hair t parts right much sean wisdom y all away due steady manipulations aim better indeed stop race shit yeah population around freak nearest gonna everlastin bullets signs scratch ass watches girl school know store game moms face lately days holdin material look joy show thinking gramps outlined jealous set understand trippin cover relieved bidness jason rain man mislead yet general lett south rocking check best choir knowin somebody stable we shame opposite video power lyin one eddie talkin eight hang anytime created chi none naked bringin c like bless street cause lovin love m seed r seventh bring though might generations next comb dirty offspring town hear drinkin intro serious young wild nationwide gettin need likechorus everybody ickies adopted see boo keep style prophet time basically cash chalk a sense chorus hearts flow the lock i believe un fiends slick university mizer survived you blessed worry tattoo youknowhati msayin walked world smiles related it designed seekin act west her real dyin singin s claim ll child whose stoney shatters first havin up connections,2,1,1
92078,1wNMaLFck9jsXipv8CQG0w,Brenda Lee,All I Want For Christmas Is You,Rockin' Around The Christmas Tree,0,123453,False,0.631,0.569,5,-5.956,0,0.0438,0.728,0.0,0.27,0.874,71.078,4,rockabilly,way saxophone holiday sentimental pre solo see spirit voices hop old chorus deck rockin merrily dancin new jolly tree holly we every fashioned couple feeling pumpkin boughs caroling hung party pie later also get everyone let mistletoe like s stop tries ll around ring happy might singing halls christmas hear,2,1,1
52799,72kmVUxc9WtR0dJKxBoCp0,Faron Young,The Complete Capitol Hits Of Faron Young,That's The Way It's Gotta Be,12,115893,False,0.565,0.574,7,-9.417,1,0.0297,0.457,0.0,0.183,0.963,105.188,4,honky-tonk,heart way that seen tell find well keep keeping gotta convince old alone untrue last beyou want remember t us still memories flame one can it could mine also like s apart love arms woman said might,2,1,1
