Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,lyrics,valence_bin,energy_bin,danceability_bin
837,395XDt5vt8DKguJDjGtYLU,Jason Mraz,Love Is a Four Letter Word,Living in the Moment,48,235080,False,0.65,0.628,7,-7.16,1,0.0232,0.0483,0.0,0.119,0.7,84.141,4,acoustic,6 ContributorsTranslationsPortugusLiving LyricsVerse 1 life act lay traps path wanna free Verse 2 waste days Making kinds ways worry bout things happen PreChorus know dont know know Ill Chorus Living Living life Easy breezy peace mind peace heart Peace soul Im going Im home Im Living Jason Mraz LiveGet tickets low 39You likeVerse 3 Im letting myself hook things Ive done past past Im having fun Im letting thoughts strong believe feel PreChorus fall asleep know youll wholl remind Chorus Live Living life Easy breezy peace mind peace heart Peace soul Im going Im home Im Living Bridge cant walk life facing backwards than sure denied future Id searching spun hurt Chorus Living Living life Easy breezy peace mind peace heart Peace soul Im going Im home Im Living Chorus Living Living life Easy breezy peace mind peace heart Peace soul Im going Im home Im Living Chorus Living Living life Easy breezy peace mind peace heart Peace soul Im going Im home Im Living momentEmbed,2,1,1
299,4M4suTUnAYZocl09XEKBZN,Ray LaMontagne,Cruising,Three More Days,36,216773,False,0.555,0.68,10,-8.358,0,0.0323,0.126,0.000906,0.0506,0.903,84.518,4,acoustic,3 ContributorsThree Days LyricsThree days Girl know coming home you darling days Girl know coming home you darling know its wrong home know its wrong leave alone Ive getcha good job done bring home bring home days Girl know side baby days Girl know side baby know its wrong leave alone know its wrong home Ive getcha good job done bring home bring home Im gonna bring home Home youm home listen up listen Im bringin home Home you home listen up listen up listen Ray LaMontagne LiveGet tickets low 115You likeGonna cant Gonna cant Gonna cant Gonna cant Gonna cant Gonna cant noEmbed,2,1,1
936,5kTmg9n7FZ7xv8SZVFhX8P,AJJ,Only God Can Judge Me and More,I Am So Mad at You,27,104306,True,0.682,0.666,0,-4.823,1,0.0381,0.0602,7.99e-05,0.208,0.79,93.992,4,acoustic,10 ContributorsI Mad LyricsI mad making bastard Giving high standards Im mad Ill inside finding hard ending pursuit happiness getting harder harder accomplish lies myself getting less less convincing cant shake feeling Ill alone forever Please thats case things important Qualities unique traits attractive peopleYou like2Embed,2,1,1
764,5Oc0vLGWdEWeCqIU8zyELt,Big Mama Thornton,Ball n' Chain,Hound Dog,57,181000,False,0.563,0.542,9,-10.862,1,0.0962,0.706,3.59e-05,0.355,0.785,133.285,4,acoustic,12 ContributorsHound Dog LyricsChorus aint nothin hound dog snoopin round door aint nothin hound dog snoopin round door wag tail aint gonna feed Verse 1 high class Yes high class daddy know aint real cool cat Chorus aint nothin hound dog snoopin round door Youre old hound dog snoopin round door wag tail aint gonna feed Guitar Solo Oh play thing boy Aw listen isnt old hound dog Ohwoo Oh play it its listen old hound dog howl Ooowo likeOh play boy play Oh feel good Oh mess longer daddy wag tail Oh Oh now it it Oh old hound dog Verse 2 feel blue weep moan feel blue weep moan Cause aint looking woman youre lookin home Chorus aint nothin hound dog snoopin round door aint nothin hound dog snoopin round door wag tail aint gonna feed Outro Awoo Bark bark bark bark7Embed,2,1,1
299,4M4suTUnAYZocl09XEKBZN,Ray LaMontagne,Cruising,Three More Days,36,216773,False,0.555,0.68,10,-8.358,0,0.0323,0.126,0.000906,0.0506,0.903,84.518,4,acoustic,3 ContributorsThree Days LyricsThree days Girl know coming home you darling days Girl know coming home you darling know its wrong home know its wrong leave alone Ive getcha good job done bring home bring home days Girl know side baby days Girl know side baby know its wrong leave alone know its wrong home Ive getcha good job done bring home bring home Im gonna bring home Home youm home listen up listen Im bringin home Home you home listen up listen up listen Ray LaMontagne LiveGet tickets low 115You likeGonna cant Gonna cant Gonna cant Gonna cant Gonna cant Gonna cant noEmbed,2,1,1
837,395XDt5vt8DKguJDjGtYLU,Jason Mraz,Love Is a Four Letter Word,Living in the Moment,48,235080,False,0.65,0.628,7,-7.16,1,0.0232,0.0483,0.0,0.119,0.7,84.141,4,acoustic,6 ContributorsTranslationsPortugusLiving LyricsVerse 1 life act lay traps path wanna free Verse 2 waste days Making kinds ways worry bout things happen PreChorus know dont know know Ill Chorus Living Living life Easy breezy peace mind peace heart Peace soul Im going Im home Im Living Jason Mraz LiveGet tickets low 39You likeVerse 3 Im letting myself hook things Ive done past past Im having fun Im letting thoughts strong believe feel PreChorus fall asleep know youll wholl remind Chorus Live Living life Easy breezy peace mind peace heart Peace soul Im going Im home Im Living Bridge cant walk life facing backwards than sure denied future Id searching spun hurt Chorus Living Living life Easy breezy peace mind peace heart Peace soul Im going Im home Im Living Chorus Living Living life Easy breezy peace mind peace heart Peace soul Im going Im home Im Living Chorus Living Living life Easy breezy peace mind peace heart Peace soul Im going Im home Im Living momentEmbed,2,1,1
244,7jJH8F3PHlNvxfqEAAfFDl,Sara Bareilles,The Blessed Unrest,I Choose You,63,218573,False,0.731,0.572,6,-7.889,0,0.0445,0.105,0.00012,0.133,0.947,154.038,4,acoustic,17 ContributorsI Choose LyricsVerse 1 bough break crashin sun fade dark sky cant Id notice absent Cause live light eyes Ill unfold strung together words lifelong love letter Chorus world finally choose become yours become choose choose Yeah yeah yeah yeah yeah yeah Verse 2 believed true loves illusion changed believe heart yours forever beautiful start lifelong love letter Sara Bareilles LiveGet tickets low 53You likeChorus world finally choose I choose you do become yours become choose I choose you choose choose I choose you Bridge perfect Well learn mistakes long takes prove love scared elements underprepared willing better Chorus world finally choose you I choose you do become yours become choose I choose you do choose I choose you do choose I choose you18Embed,2,1,2
741,7IdC5YvSg9O1WfRSUtSpNt,Sonny Boy Williamson II,The Best Of,Don't Start Me To Talkin',30,153653,False,0.699,0.761,7,-7.264,1,0.103,0.806,0.00115,0.588,0.706,115.048,4,acoustic,3 ContributorsDont Start Talkin LyricsWell Im goin Rosies stop Fannie Maes Gonna Fannie heard boyfriend Dont start talkin Ill know Im gonna break signifyin cause somebodys Jack wife dollars downtown margarine Gets streets ol George stopped knocked down blackened eye gets home husband lie Dont start talkin Ill know Im gonna break signifyin somebodys borrowed money beauty shop Jim honked horn begin stop said Take me baby block Im goin beauty shop hair sock Dont start talkin Ill know Well break signifyin somebodys goYou likeEmbed,2,2,1
692,5CU7ewecONNlWAJHu04HJQ,The Bridge City Sinners,Bridge City Sinners,Come on In,28,204926,False,0.544,0.911,9,-2.73,1,0.204,0.661,0.0,0.344,0.851,114.776,4,acoustic,1 ContributorCome LyricsWell in aint Aint me Well in aint Aint me Well in lets fun wife run Well in aint Aint Well in aint Aint me Well in aint Aint me Well fry meat well cook bread sleepy theres great big bed Now in aint Aint Well in aint Aint me Well in aint Aint me Well drink liquor drink wine real drunk real good Well in aint Aint likeWell in aint Aint me Well in aint Aint me Well this doggone flat Well in aint Aint Well in aint Aint me Well in aint Aint me Well chair shoes feet air Well in aint Aint Well in aint Aint me Well in aint Aint me Well Im drunk disorderly dont care underwear in aint Aint meEmbed,2,2,1
692,5CU7ewecONNlWAJHu04HJQ,The Bridge City Sinners,Bridge City Sinners,Come on In,28,204926,False,0.544,0.911,9,-2.73,1,0.204,0.661,0.0,0.344,0.851,114.776,4,acoustic,1 ContributorCome LyricsWell in aint Aint me Well in aint Aint me Well in lets fun wife run Well in aint Aint Well in aint Aint me Well in aint Aint me Well fry meat well cook bread sleepy theres great big bed Now in aint Aint Well in aint Aint me Well in aint Aint me Well drink liquor drink wine real drunk real good Well in aint Aint likeWell in aint Aint me Well in aint Aint me Well this doggone flat Well in aint Aint Well in aint Aint me Well in aint Aint me Well chair shoes feet air Well in aint Aint Well in aint Aint me Well in aint Aint me Well Im drunk disorderly dont care underwear in aint Aint meEmbed,2,2,1
