,Unnamed: 0.1,record_id,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,valence_bin,energy_bin,danceability_bin
1458,2834,2834,20097,4b98LXC0QUWGBteJ5uwVQY,Doja Cat,Summer Music Festival Hits,Boss Bitch,0,134239,False,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.203,0.575,125.993,4,dance,1,2,2
1557,2967,2967,22816,58Z83tSbShyHxCwqTCE8M6,Goatwhore,Vengeful Ascension,"Under the Flesh, Into the Soul",21,273266,False,0.327,0.989,1,-6.425,1,0.0839,2.67e-06,0.11,0.107,0.347,170.015,4,death-metal,1,2,0
425,616,616,3220,0AOmbw8AwDnwXhHC3OhdVB,Thousand Foot Krutch,The End Is Where We Begin,Courtesy Call,72,236898,False,0.531,0.638,11,-5.145,0,0.0809,0.00409,0.0,0.0822,0.445,164.079,4,alternative,1,1,1
989,2054,2054,14581,5Jaj6nLjHCizmcPddJLO3k,Blippi,"Blippi Tunes, Vol. 2: Machines (Music for Toddlers)",The Train Song,53,207428,False,0.679,0.407,4,-12.893,1,0.0446,0.508,1.89e-05,0.325,0.662,139.895,4,children,2,1,2
383,562,562,3717,2oaK4JLVnmRGIO9ytBE1bt,Red Hot Chili Peppers,The Getaway,Dark Necessities,74,302000,False,0.7,0.742,5,-6.777,0,0.0716,0.0722,0.0199,0.11,0.197,91.959,4,alternative,0,2,2
1670,3171,3171,25595,3sGOzhLEKanogNnnNJQiDv,The Spinners,The Rubberband Man,They Just Can't Stop It (Games People Play),34,211519,False,0.721,0.408,11,-12.057,0,0.0341,0.513,0.000463,0.119,0.677,76.522,4,disco,2,1,2
1008,2100,2100,15973,6LebjMq3qAsomMgzB3vxSy,Cloud 11,Love Is Real,This Is for My Girl,51,177864,False,0.727,0.0501,0,-22.997,1,0.0543,0.676,0.629,0.0878,0.218,109.988,4,chill,0,0,2
5437,10047,10047,103737,3Jv8iVcBGnDqBZY9BERHw4,Smokey Robinson & The Miracles,Home For Christmas 2022,I Can Tell When Christmas Is Near,0,187720,False,0.656,0.626,0,-9.387,1,0.029,0.619,0.0,0.114,0.819,123.197,4,soul,2,1,1
2454,4613,4613,43824,22VW5d6k6HT0SQ8MUEXuDz,Five Finger Death Punch,American Capitalist (Deluxe),Coming Down,54,241226,True,0.31,0.991,1,-2.927,0,0.488,0.000619,0.0,0.11,0.187,76.372,4,groove,0,2,0
572,1021,1021,7679,1vLRvn2oKv4YJTXwIe50Ob,Doc Watson;David Grisman,Doc & Dawg,My Dear Old Southern Home,23,167846,False,0.549,0.299,4,-15.974,1,0.0328,0.959,0.0775,0.411,0.927,141.253,4,bluegrass,2,0,1
3994,7235,7235,73626,6c6Zt0g2m2s4yLxnK1NazG,Ann Clue,Rumbling Conversation,Conscious,38,455040,False,0.8,0.733,0,-11.452,1,0.0515,0.0388,0.833,0.114,0.186,124.974,4,minimal-techno,0,2,2
4174,7698,7698,81792,5DMirbBpNmJdTU9rGH2VW4,Coldplay,OK Boomers - Top Tunes,The Scientist,2,309600,False,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,4,pop,0,1,1
443,662,662,4281,1f8dYuRdhutbl60c2SKxxZ,Flower Face,Baby Teeth,Another Life,40,289117,False,0.456,0.285,5,-12.309,1,0.0303,0.851,0.152,0.122,0.0501,114.953,4,ambient,0,0,1
4696,8696,8696,91584,6dt2cKnkL79xajOcCutBUn,The Beach Boys,Rock n Roll Christmas,Little Saint Nick - 1991 Remix,0,118840,False,0.602,0.553,11,-9.336,1,0.0328,0.108,0.0,0.0512,0.971,130.594,4,rock,2,1,1
4693,8690,8690,91210,08mG3Y1vljYA6bvDt4Wqkj,AC/DC,Back In Black,Back In Black,85,255493,False,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4,rock,2,2,0
4857,8957,8957,90894,6rLqjzGV5VMLDWEnuUqi8q,Martha Reeves & The Vandellas,Dance Party,Dancing In The Street - Stereo,67,165226,False,0.556,0.57,2,-9.472,1,0.0393,0.0118,0.000526,0.198,0.304,126.01,4,rock-n-roll,0,1,1
4761,8793,8793,91536,33ChkGU26Kcs4M16oAJLTB,The Beach Boys,Christmas Classics,Frosty The Snowman - 1991 Remix,0,114551,False,0.426,0.473,5,-7.924,1,0.0335,0.353,0.0,0.0234,0.937,181.752,4,rock,2,1,1
5006,9288,9288,94708,4dVVxztRgILPetTC05UDgH,creamy,Would You Be My Baby,Would You Be My Baby,54,100623,False,0.802,0.294,1,-14.638,1,0.0836,0.747,0.00612,0.158,0.58,120.725,4,sad,1,0,2
2404,4487,4487,42946,206LymtuxFFLnfYeT9nwyy,Carcass,Surgical Steel (Complete Edition),Noncompliance to Astm F899-12 Standard,14,366906,False,0.248,0.991,7,-4.289,1,0.188,8.18e-06,0.0878,0.0255,0.104,92.406,4,grindcore,0,2,0
4963,9220,9220,94826,4KMR0q5skgPUVS1e1IgCJJ,sadeyes;Powfu,downpour,about you,43,127430,False,0.566,0.496,1,-8.427,1,0.176,0.515,0.0,0.0957,0.39,80.005,4,sad,1,1,1
533,931,931,6576,6DY2S2c3PqkQyfEgUlXoPn,Leviathan,Massive Conspiracy Against All Life,"Merging with Sword, Onto Them",18,658080,True,0.0974,0.991,10,-5.243,1,0.26,0.00861,0.911,0.164,0.0294,159.977,4,black-metal,0,2,0
607,1111,1111,7789,7xsTR33qbp42AhwyBadv4c,The Wailin' Jennys,40 Days,This Is Where,24,308040,False,0.474,0.24,4,-16.182,1,0.0314,0.874,7.76e-05,0.0843,0.187,154.74,4,bluegrass,0,0,1
4481,8323,8323,84707,0aD8W0ChzDgEKpB1zsJ8zv,Tommy James & The Shondells,Crimson & Clover,Crystal Blue Persuasion,55,242320,False,0.621,0.341,9,-11.447,1,0.049,0.102,7.78e-05,0.0652,0.578,98.554,4,psych-rock,1,1,1
4959,9215,9215,94998,7sFRIgzKlKRSfBDWUvtpwU,LoveJSan,Saddest Popstar to Live,I Got You Flowers!,49,154000,True,0.598,0.54,7,-6.199,1,0.0363,0.0504,0.000144,0.211,0.244,140.13,4,sad,0,1,1
297,465,465,3289,40dr3CZGx83RL6ADIC7xvv,Marilyn Manson,Halloween Spooky Party 2022,Sweet Dreams (Are Made Of This),0,293293,False,0.221,0.664,0,-5.242,0,0.0379,0.0039,0.657,0.239,0.101,186.044,4,alternative,0,2,0
708,1305,1305,8896,7coyz3MhQbSL7tZyWFD5DL,Sir Charles Jones,The Best of Sir Charles Jones - For Your Love,Just Can't Let Go,33,280173,False,0.804,0.398,5,-7.571,1,0.0428,0.722,0.0,0.0346,0.61,82.477,3,blues,1,1,2
5458,10078,10078,103439,5CfpIqcI46MiKEkRl89snb,Jamie Miller,I'm Blue - Hits of 2022,It Is What It Is,0,125746,False,0.691,0.741,4,-5.617,1,0.288,0.0868,0.0,0.109,0.318,161.917,4,soul,0,2,2
4081,7584,7584,81101,1cKHdTo9u0ZymJdPGSh6nq,The Weeknd;Gesaffelstein,"My Dear Melancholy,",I Was Never There,90,241066,False,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,4,pop,0,2,0
5086,9418,9418,98635,7jTtfStRxwP2fZELVR9Ssk,Gwen Verdon,Damn Yankees (Original Broadway Cast Recording),"A Little Brains, A Little Talent",23,219493,False,0.607,0.116,5,-15.649,1,0.0825,0.905,0.0,0.526,0.722,144.517,4,show-tunes,2,0,1
4242,7814,7814,82670,0Z2OyJ84AztZDiozI5AQJ5,F.Y.P,Come Home Smelly,Come Home Smelly,21,120333,False,0.323,0.952,0,-5.382,1,0.0623,0.000357,0.00328,0.592,0.738,189.308,4,power-pop,2,2,0
